date,mvrv_z,mvrv,CapMrktCurUSD,cap_realizado
2024-10-21,1.870755575014536,2.056928495458,1333370812454.5571,648233915470.9731
2024-10-22,1.8671820246822304,2.0548573040083666,1333109112878.5735,648759945655.6451
2024-10-23,1.8230328715115918,2.030149964645596,1317749059876.3137,649089516944.3079
2024-10-24,1.9000454676120224,2.0735534317639304,1347116211228.2568,649665540608.8533
2024-10-25,1.7974145186889294,2.015882390039284,1310184157590.396,649930851156.8793
2024-10-26,1.8365151490944651,2.038385405545456,1325277793277.3464,650160558288.8837
2024-10-27,1.8869239446183028,2.0672450714484363,1344626789947.3325,650443824256.0211
2024-10-28,1.9828776458451798,2.12079659111609,1381489809812.0127,651401372295.2045
2024-10-29,2.126670847038663,2.199387577615285,1437215455136.4832,653461658947.2615
2024-10-30,2.1101407122158093,2.1895048875101897,1432735109920.4976,654364883172.1687
2024-10-31,1.9958049858254021,2.1253164193551783,1391573641948.6345,654760688467.6675
2024-11-01,1.9453328772190364,2.096717117505966,1374134861457.608,655374466104.4854
2024-11-02,1.930080707762605,2.088469515716,1369381390768.1792,655686559206.8303
2024-11-03,1.9015870160781523,2.072996077959187,1359542591577.401,655834618324.911
2024-11-04,1.8472148660146384,2.0421715913323313,1340516077446.8154,656416964733.238
2024-11-05,1.9381415662078336,2.0934035678438234,1375333854518.3318,656984575570.8282
2024-11-06,2.254044140633167,2.265383861200003,1497164174352.868,660887631449.7097
2024-11-07,2.2621559815916643,2.268079148113374,1502665235112.8457,662527688402.2268
2024-11-08,2.283970358008891,2.2784564278185018,1513284018479.047,664170707854.1477
2024-11-09,2.295868449050798,2.285490807522989,1519089160917.0645,664666493479.9938
2024-11-10,2.4799470617221897,2.386299165227104,1590532816418.8228,666526996948.2019
2024-11-11,2.908992813334755,2.6147362044216913,1757729564966.6409,672239731868.249
2024-11-12,2.8503717911730937,2.574402718870185,1741722501527.2258,676554017271.8613
2024-11-13,2.955929476844934,2.6237625094988872,1787666712260.7617,681337089690.4036
2024-11-14,2.773960199266424,2.5169171310403327,1725089533526.0042,685397827465.6036
2024-11-15,2.9673566885121514,2.6166281818489865,1802971685081.548,689043899163.2029
2024-11-16,2.9300402434270056,2.5963251574245816,1791712543259.2979,690095590737.4032
2024-11-17,2.88018127826637,2.570045957525609,1775241125510.354,690742949678.426
2024-11-18,2.915191323620246,2.586767436063493,1792194846112.7312,692831841443.0284
2024-11-19,2.9851090220604988,2.616096692148944,1825214331192.41,697686112546.9799
2024-11-20,3.069048229724625,2.6545840511759584,1862965160745.666,701791740186.3347
2024-11-21,3.2635477438844487,2.7357035205093947,1949777589238.2932,712715239287.0554
2024-11-22,3.2643964263055434,2.7268624607806946,1957593180961.8809,717892159621.9512
2024-11-23,3.187186905378912,2.682475835762373,1933272806307.216,720704649239.7462
2024-11-24,3.1915932749152445,2.684190145202477,1938718690784.532,722273231741.6687
2024-11-25,2.941602309618554,2.5509368688261986,1847012865185.4243,724052754012.4183
2024-11-26,2.856174193881144,2.504171774475637,1818015620103.3584,725994773455.2048
2024-11-27,3.0571254611576926,2.606953545179931,1899452843747.8716,728610161565.7184
2024-11-28,3.034414153032315,2.593738763868712,1894525715473.941,730422717146.79
2024-11-29,3.109105132289478,2.6309948422566616,1927431540403.9873,732586590230.9362
2024-11-30,3.0541975599122706,2.6035102735918114,1908971954209.812,733230044672.0297
2024-12-01,3.098374803729346,2.627590012401485,1928927963341.32,734105379544.4965
2024-12-02,2.9981004382363046,2.572610271286454,1894468683534.5496,736399409066.8097
2024-12-03,3.00123836786561,2.5714581344527,1900144891598.9807,738936740264.4496
2024-12-04,3.135969683457457,2.637537468218781,1957769580344.108,742271760660.9988
2024-12-05,3.0134783951637747,2.5624396365200885,1918815845330.0728,748823823196.8318
2024-12-06,3.1446697310565908,2.619701356628037,1978302063761.216,755163201620.6605
2024-12-07,3.1380265080660075,2.6172416537051104,1978833208148.32,756075850064.1221
2024-12-08,3.1718608756916513,2.635830347444721,1995134647453.3623,756928324081.072
2024-12-09,2.9800143040816445,2.528321562198401,1927714706540.8667,762448390807.0219
2024-12-10,2.9396388132497497,2.5042559556430377,1916781784711.18,765409694001.9027
2024-12-11,3.150972535018432,2.607825988676539,2005399870980.495,768992977172.6171
2024-12-12,3.0810825162993325,2.5725090268010704,1981310308332.672,770185949860.9584
2024-12-13,3.1306448522315162,2.5964143923269845,2005097135868.2256,772256209098.8864
2024-12-14,3.1268268461014013,2.5956011229498386,2006672700085.4917,773105190294.0142
2024-12-15,3.2762437872747645,2.671579602981782,2069758175682.208,774731987537.3079
2024-12-16,3.3245126004686063,2.6904870242055368,2095627894157.28,778902806556.4039
2024-12-17,3.320265329372938,2.6825053486643022,2100824937855.9956,783157781550.0192
2024-12-18,3.028722978882006,2.5337669288940026,1989090947935.3596,785033116208.3658
2024-12-19,2.8742943192020243,2.449250681750823,1934241071545.3303,789727685270.1157
2024-12-20,2.8590331879229147,2.438923701718572,1932711114045.7793,792444270677.2281
2024-12-21,2.8277553406838414,2.4247953422211608,1922372144875.56,792797689521.5531
2024-12-22,2.720758555303806,2.3683246829858304,1883930144105.8357,795469539138.8221
2024-12-23,2.688544932889567,2.3466031181287983,1877074081164.9585,799911185092.8391
2024-12-24,2.86615978556265,2.432547289582645,1953087683978.236,802898135769.9852
2024-12-25,2.8897208834125805,2.4457574461003446,1964968046631.85,803419018416.9355
2024-12-26,2.706383651743011,2.3548963638187823,1893583393961.5796,804104767859.4563
2024-12-27,2.6302335134528847,2.316536046291274,1865743053845.5872,805402124794.3035
2024-12-28,2.6696124632827334,2.3373921900161463,1883678618362.4536,805888984488.0681
2024-12-29,2.582208452303943,2.2939806186069815,1850733848828.8896,806778328385.6804
2024-12-30,2.5272655129904122,2.264447243535571,1832275661275.792,809149193696.8192
2024-12-31,2.561923837739409,2.2808124449322915,1849474353083.6064,810884015120.5463
2025-01-01,2.607059273842272,2.3030404933089104,1870627825779.7744,812242698821.2162
2025-01-02,2.71688648969158,2.3578841474857937,1918121414156.2888,813492646024.0115
2025-01-03,2.7723988518040725,2.3862905574570155,1943302993109.42,814361430981.954
2025-01-04,2.772300474231324,2.3875160097101222,1945514693256.9517,814869799969.7034
2025-01-05,2.776180885429776,2.3909658600988406,1949222053431.9248,815244619741.8082
2025-01-06,2.949487041213559,2.477062799747396,2023829824177.7495,817028064199.3147
2025-01-07,2.690058006484468,2.346702783421937,1920785694384.26,818504033810.1063
2025-01-08,2.5918731748193653,2.2986659046669535,1882482074934.7837,818945489691.5656
2025-01-09,2.4590008255359934,2.233820238836667,1829182366534.0864,818858355176.6418
2025-01-10,2.5700056859759006,2.290082536703305,1877019861807.2344,819629787016.019
2025-01-11,2.558430624986983,2.285501707170164,1874037679375.3152,819967744279.5216
2025-01-12,2.5422555523348747,2.278657758123868,1869082071182.4756,820255724897.1796
2025-01-13,2.5388772932898807,2.2779845089607442,1869554727226.954,820705636878.9255
2025-01-14,2.6379142145455994,2.3280580564665416,1913058643137.184,821740092702.3136
2025-01-15,2.8017051746205714,2.4095410827754344,1984476850035.5469,823591207562.9453
2025-01-16,2.7832267412975336,2.3989108291075403,1980660186323.2664,825649775010.6558
2025-01-17,2.9791052066916857,2.495913169030756,2066270034307.7468,827861345477.073
2025-01-18,2.976009069519094,2.4946785705686336,2068324662803.7656,829094652595.7909
2025-01-19,2.8064302172046065,2.410672870086662,2000148081999.3276,829705310421.245
2025-01-20,2.8757055010854486,2.445056132753733,2032578651970.364,831301426884.2908
2025-01-21,3.0259970059079833,2.5188589005093247,2099964341470.9812,833696695375.1792
2025-01-22,2.911057802131088,2.459018475131256,2056488045408.3835,836304430489.7357
